file_name,trial_status,clause_count,group_mean_cosine,group_mean_jaccard,group_mean_edit_dist
"Provided by Aclaris Therapeutics, Inc._age7-11.pdf",completed,4,0.58419347,0.33811336056234015,0.9942407335558694
"Provided by ModernaTX, Inc..pdf",completed,13,0.56873643,0.8832697914330567,0.9708813258554396
"Pulmotect, Inc.pdf",completed,11,0.54061425,0.7943247228961515,0.9891550348217316
"Puma Biotechnology, Inc..pdf",completed,12,0.6229878,0.8730096434178066,0.9917355664635019
"Puma Biotechnology, Inc._loperamide.pdf",completed,13,0.63200927,0.8832697914330567,0.9916233242379388
Puma_Breast.pdf,terminated,13,0.5942027,0.8195138195138194,0.9885997436729471
Puma_Neratinib_Monotherapy.pdf,terminated,13,0.57536,0.8195138195138194,0.9879820815178756
Qualitas Health.pdf,completed,11,0.48513004,0.8132004050371398,0.9945242781499962
RECORDATI GROUP.pdf,completed,13,0.6213039,0.8211631905509456,0.9940153260925242
"RTOG Foundation, Inc. 1.pdf",terminated,12,0.6046131,0.7649295149295149,0.9898957125386355
"RTOG Foundation, Inc. 2.pdf",terminated,10,0.5344508,0.691880846426301,0.990103494105571
Red Hill Biopharma.pdf,terminated,12,0.61202675,0.8014485514485515,0.958938874984768
RedHill Biopharma Limited.pdf,terminated,12,0.61202675,0.8014485514485515,0.958938874984768
Regeneron Pharmaceuticals.pdf,terminated,2,0.16010876,0.16466816012270558,0.9961786843674219
Regeneron Pharmaceuticals.pdf,completed,13,0.54957926,0.8832697914330567,0.9931665716440012
"SanBio, Inc.pdf",completed,11,0.63288283,0.8431755319510421,0.9931658937360837
Shionogi Inc..pdf,completed,14,0.5867437,0.8326530612244898,0.9940634564140661
Suzhou Kintor Pharmaceutical Inc.pdf,completed,13,0.66261756,0.8832697914330567,0.9891560615942087
"The Emmes Company, LLC.pdf",completed,11,0.50871944,0.8431755319510421,0.9944835858055716
Treos Bio Zrt.pdf,completed,13,0.6266011,0.8832697914330567,0.9885195941130509
"USWM, LLC.pdf",terminated,12,0.55847645,0.8014485514485515,0.9865878602105684
United Therapeutics.pdf,completed,12,0.6270328,0.8538536293638334,0.9871124603922995
UroGen Pharma Ltd..pdf,completed,14,0.6562795,0.8323615160349854,0.9915611801264699
ValiRx Plc.pdf,completed,12,0.59403336,0.8730096434178066,0.9926387645598141
Windtree Therapeutics.pdf,terminated,14,0.45759264,0.77994227994228,0.9899179851455139
Windtree Therapeutics.pdf,completed,12,0.59720325,0.8730096434178066,0.992176774747386
Woebot Health.pdf,completed,14,0.58657944,0.8323615160349854,0.9931810197763574
Xenetic.pdf,terminated,13,0.58483833,0.8195138195138195,0.9905968294800263
Xenikos-Pregnacy.pdf,terminated,14,0.50062096,0.77994227994228,0.9893051278631959
Xenikos-all-participants.pdf,terminated,14,0.5619121,0.77994227994228,0.9898082901333949
