file_name,purpose,voluntary_participation,withdrawal_rights,study_procedures,risks,benefits,alternatives,confidentiality,compensation,expenses_payments,contact_info,consent_statement,data_sharing,future_use,ethics_approval
"Provided by ModernaTX, Inc..pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"Pulmotect, Inc.pdf",1,1,1,0,1,1,1,1,1,0,1,1,0,0,1
"Puma Biotechnology, Inc..pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
"Puma Biotechnology, Inc._loperamide.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
Qualitas Health.pdf,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0
RECORDATI GROUP.pdf,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
Regeneron Pharmaceuticals.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"SanBio, Inc.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
Shionogi Inc..pdf,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
Suzhou Kintor Pharmaceutical Inc.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
"The Emmes Company, LLC.pdf",1,1,1,0,1,1,1,1,1,1,1,1,0,0,0
Treos Bio Zrt.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
United Therapeutics.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1
UroGen Pharma Ltd..pdf,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
ValiRx Plc.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
Windtree Therapeutics.pdf,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0
Woebot Health.pdf,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
